id_GO	type	name
0006290P	P	pyrimidine dimer repair
0030896C	C	checkpoint clamp complex
0004058F	F	aromatic-L-amino-acid decarboxylase activity
0006585P	P	dopamine biosynthetic process from tyrosine
0048082P	P	regulation of adult chitin-containing cuticle pigmentation
0006587P	P	serotonin biosynthetic process from tryptophan
0036468F	F	L-dopa decarboxylase activity
0052314P	P	phytoalexin metabolic process
0046684P	P	response to pyrethroid
0042427P	P	serotonin biosynthetic process
0030382P	P	sperm mitochondrion organization
0018820F	F	cyanamide hydratase activity
0018890P	P	cyanamide metabolic process
0035976C	C	transcription factor AP-1 complex
1990442P	P	intrinsic apoptotic signaling pathway in response to nitrosative stress
1903026P	P	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding
0044324P	P	regulation of transcription involved in anterior/posterior axis specification
1902532P	P	negative regulation of intracellular signal transduction
0043241P	P	protein complex disassembly
1990174F	F	phosphodiesterase decapping endonuclease activity
0015961P	P	diadenosine polyphosphate catabolic process
0046855P	P	inositol phosphate dephosphorylation
0006798P	P	polyphosphate catabolic process
0038062F	F	protein tyrosine kinase collagen receptor activity
0010715P	P	regulation of extracellular matrix disassembly
0061302P	P	smooth muscle cell-matrix adhesion
0097376P	P	interneuron axon guidance
1990592P	P	protein K69-linked ufmylation
1905552P	P	positive regulation of protein localization to endoplasmic reticulum
1905636P	P	positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding
1990700P	P	nucleolar chromatin organization
1901836P	P	regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter
1904976P	P	cellular response to bleomycin
2000781P	P	positive regulation of double-strand break repair
1901838P	P	positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter
0061614P	P	pri-miRNA transcription from RNA polymerase II promoter
0033677F	F	DNA/RNA helicase activity
0008143F	F	poly(A) binding
0097504C	C	Gemini of coiled bodies
0090571C	C	RNA polymerase II transcription repressor complex
0032797C	C	SMN complex
0034719C	C	SMN-Sm protein complex
0050810P	P	regulation of steroid biosynthetic process
0035770C	C	ribonucleoprotein granule
1902775P	P	mitochondrial large ribosomal subunit assembly
0043273F	F	CTPase activity
0048027F	F	mRNA 5'-UTR binding
0017111F	F	nucleoside-triphosphatase activity
0033592F	F	RNA strand annealing activity
0032728P	P	positive regulation of interferon-beta production
0042006P	P	masculinization of hermaphroditic germ-line
0036098P	P	male germ-line stem cell population maintenance
0032479P	P	regulation of type I interferon production
1902038P	P	positive regulation of hematopoietic stem cell differentiation
0045621P	P	positive regulation of lymphocyte differentiation
0071547C	C	piP-body
0039528P	P	cytoplasmic pattern recognition receptor signaling pathway in response to virus
0009597P	P	detection of virus
0032725P	P	positive regulation of granulocyte macrophage colony-stimulating factor production
1902741P	P	positive regulation of interferon-alpha secretion
0035549P	P	positive regulation of interferon-beta secretion
0060760P	P	positive regulation of response to cytokine stimulus
0034344P	P	regulation of type III interferon production
0039529P	P	RIG-I signaling pathway
0035500F	F	MH2 domain binding
0070878F	F	primary miRNA binding
0019074P	P	viral RNA genome packaging
0097227C	C	sperm annulus
2000026P	P	regulation of multicellular organismal development
0008670F	F	2,4-dienoyl-CoA reductase (NADPH) activity
0007378P	P	amnioserosa formation
0061327P	P	anterior Malpighian tubule development
0007448P	P	anterior/posterior pattern specification, imaginal disc
0061353P	P	BMP signaling pathway involved in Malpighian tubule cell chemotaxis
0046845P	P	branched duct epithelial cell fate determination, open tracheal system
0007393P	P	dorsal closure, leading edge cell fate determination
0001715P	P	ectodermal cell fate specification
0007440P	P	foregut morphogenesis
0035156P	P	fusion cell fate specification
0007516P	P	hemocyte development
0035168P	P	larval lymph gland hemocyte differentiation
0061320P	P	pericardial nephrocyte differentiation
0030721P	P	spectrosome organization
0035309P	P	wing and notum subfield formation
0007473P	P	wing disc proximal/distal pattern formation
0007354P	P	zygotic determination of anterior/posterior axis, embryo
0007352P	P	zygotic specification of dorsal/ventral axis
0019166F	F	trans-2-enoyl-CoA reductase (NADPH) activity
1901837P	P	negative regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter
0051852P	P	disruption by host of symbiont cells
0044657P	P	pore formation in membrane of other organism during symbiotic interaction
1905710P	P	positive regulation of membrane permeability
0042586F	F	peptide deformylase activity
0043686P	P	co-translational protein modification
0031365P	P	N-terminal protein amino acid modification
0042284F	F	sphingolipid delta-4 desaturase activity
0000170F	F	sphingosine hydroxylase activity
0006667P	P	sphinganine metabolic process
2000779P	P	regulation of double-strand break repair
2001032P	P	regulation of double-strand break repair via nonhomologous end joining
0090527P	P	actin filament reorganization
0050732P	P	negative regulation of peptidyl-tyrosine phosphorylation
0090315P	P	negative regulation of protein targeting to membrane
1901731P	P	positive regulation of platelet aggregation
0070560P	P	protein secretion by platelet
0032593C	C	insulin-responsive compartment
0070992C	C	translation initiation complex
0002188P	P	translation reinitiation
0075522P	P	IRES-dependent viral translational initiation
0032790P	P	ribosome disassembly
0004139F	F	deoxyribose-phosphate aldolase activity
0046121P	P	deoxyribonucleoside catabolic process
0009264P	P	deoxyribonucleotide catabolic process
0046386P	P	deoxyribose phosphate catabolic process
1900471P	P	negative regulation of inositol biosynthetic process by negative regulation of transcription from RNA polymerase II promoter
1900473P	P	negative regulation of phosphatidylcholine biosynthetic process by negative regulation of transcription from RNA polymerase II promoter
1900526P	P	negative regulation of phosphatidylserine biosynthetic process by negative regulation of transcription from RNA polymerase II promoter
1900472P	P	positive regulation of phosphatidylcholine biosynthetic process by positive regulation of transcription from RNA polymerase II promoter
1900525P	P	positive regulation of phosphatidylserine biosynthetic process by positive regulation of transcription from RNA polymerase II promoter
1990130C	C	GATOR1 complex
0070843P	P	misfolded protein transport
0036502C	C	Derlin-1-VIMP complex
0048500C	C	signal recognition particle
0005785C	C	signal recognition particle receptor complex
1904153P	P	negative regulation of retrograde protein transport, ER to cytosol
0047880F	F	erythrulose reductase activity
0002934P	P	desmosome organization
0102895F	F	colneleate synthase activity
0003391P	P	amphid sensory organ dendrite retrograde extension
0030112C	C	glycocalyx
0060703F	F	deoxyribonuclease inhibitor activity
1902511P	P	negative regulation of apoptotic DNA fragmentation
0032076P	P	negative regulation of deoxyribonuclease activity
0006308P	P	DNA catabolic process
0003865F	F	3-oxo-5-alpha-steroid 4-dehydrogenase activity
0102389F	F	polyprenol reductase activity
0019408P	P	dolichol biosynthetic process
0019348P	P	dolichol metabolic process
0016095P	P	polyprenol catabolic process
0036177P	P	filamentous growth of a population of unicellular organisms in response to pH
0004144F	F	diacylglycerol O-acyltransferase activity
0070877C	C	microprocessor complex
0031053P	P	primary miRNA processing
1900452P	P	regulation of long term synaptic depression
2000064P	P	regulation of cortisol biosynthetic process
2000182P	P	regulation of progesterone biosynthetic process
0070493P	P	thrombin-activated receptor signaling pathway
0071926P	P	endocannabinoid signaling pathway
0098921P	P	retrograde trans-synaptic signaling by endocannabinoid
0070652C	C	HAUS complex
0004138F	F	deoxyguanosine kinase activity
0046070P	P	dGTP metabolic process
0008617P	P	guanosine metabolic process
0046122P	P	purine deoxyribonucleoside metabolic process
0102339F	F	3-oxo-arachidoyl-CoA reductase activity
0102340F	F	3-oxo-behenoyl-CoA reductase activity
0102342F	F	3-oxo-cerotoyl-CoA reductase activity
0102341F	F	3-oxo-lignoceroyl-CoA reductase activity
0004073F	F	aspartate-semialdehyde dehydrogenase activity
0016229F	F	steroid dehydrogenase activity
0016509F	F	long-chain-3-hydroxyacyl-CoA dehydrogenase activity
1903924F	F	estradiol binding
0080023F	F	3R-hydroxyacyl-CoA dehydratase activity
0044594F	F	17-beta-hydroxysteroid dehydrogenase (NAD+) activity
0033989F	F	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity
0016508F	F	long-chain-enoyl-CoA hydratase activity
0036111P	P	very long-chain fatty-acyl-CoA metabolic process
0070404F	F	NADH binding
0000246F	F	delta24(24-1) sterol reductase activity
0050614F	F	delta24-sterol reductase activity
0033489P	P	cholesterol biosynthetic process via desmosterol
0033490P	P	cholesterol biosynthetic process via lathosterol
0047598F	F	7-dehydrocholesterol reductase activity
0009918F	F	sterol delta7 reductase activity
0016132P	P	brassinosteroid biosynthetic process
0016765F	F	transferase activity, transferring alkyl or aryl (other than methyl) groups
0006489P	P	dolichyl diphosphate biosynthetic process
0016094P	P	polyprenol biosynthetic process
0002094F	F	polyprenyltransferase activity
0047837F	F	D-xylose 1-dehydrogenase (NADP+) activity
0042843P	P	D-xylose catabolic process
0008746F	F	NAD(P)+ transhydrogenase activity
0004352F	F	glutamate dehydrogenase (NAD+) activity
0004353F	F	glutamate dehydrogenase [NAD(P)+] activity
0070728F	F	leucine binding
0004354F	F	glutamate dehydrogenase (NADP+) activity
0008364P	P	pupal chitin-based cuticle development
0090079F	F	translation regulator activity, nucleic acid binding
0045900P	P	negative regulation of translational elongation
0016539P	P	intein-mediated protein splicing
0030238P	P	male sex determination
0070524F	F	11-beta-hydroxysteroid dehydrogenase (NADP+) activity
0003845F	F	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
0004412F	F	homoserine dehydrogenase activity
0009067P	P	aspartate family amino acid biosynthetic process
0004157F	F	dihydropyrimidinase activity
0016812F	F	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
0046113P	P	nucleobase catabolic process
0006208P	P	pyrimidine nucleobase catabolic process
0004156F	F	dihydropteroate synthase activity
0046654P	P	tetrahydrofolate biosynthetic process
0004155F	F	6,7-dihydropteridine reductase activity
0006729P	P	tetrahydrobiopterin biosynthetic process
0051066P	P	dihydrobiopterin metabolic process
0018455F	F	alcohol dehydrogenase [NAD(P)+] activity
0016854F	F	racemase and epimerase activity
0008177F	F	succinate dehydrogenase (ubiquinone) activity
0050433P	P	regulation of catecholamine secretion
0003939F	F	L-iditol 2-dehydrogenase activity
0019318P	P	hexose metabolic process
0051160P	P	L-xylitol catabolic process
0006062P	P	sorbitol catabolic process
0046526F	F	D-xylulose reductase activity
0051164P	P	L-xylitol metabolic process
0006060P	P	sorbitol metabolic process
0019407P	P	hexitol catabolic process
0045252C	C	oxoglutarate dehydrogenase complex
0004591F	F	oxoglutarate dehydrogenase (succinyl-transferring) activity
0005689C	C	U12-type spliceosomal complex
0040022P	P	feminization of hermaphroditic germ-line
0016282C	C	eukaryotic 43S preinitiation complex
2000623P	P	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
0090669P	P	telomerase RNA stabilization
0097165C	C	nuclear stress granule
0005726C	C	perichromatin fibrils
0033681F	F	ATP-dependent 3'-5' DNA/RNA helicase activity
0034459F	F	ATP-dependent 3'-5' RNA helicase activity
0061676F	F	importin-alpha family protein binding
1905538F	F	polysome binding
1905172F	F	RISC complex binding
1990825F	F	sequence-specific mRNA binding
1990518F	F	single-stranded DNA-dependent ATP-dependent 3'-5' DNA helicase activity
2000373P	P	positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity
1905698P	P	positive regulation of polysome binding
0046833P	P	positive regulation of RNA export from nucleus
2000765P	P	regulation of cytoplasmic translation
0070922P	P	small RNA loading onto RISC
0001069F	F	regulatory region RNA binding
0070934P	P	CRD-mediated mRNA stabilization
0039695P	P	DNA-templated viral transcription
0032741P	P	positive regulation of interleukin-18 production
1904973P	P	positive regulation of viral translation
0050691P	P	regulation of defense response to virus by host
0034038F	F	deoxyhypusine synthase activity
0008612P	P	peptidyl-lysine modification to peptidyl-hypusine
0008216P	P	spermidine metabolic process
0046203P	P	spermidine catabolic process
0010587P	P	miRNA catabolic process
0000291P	P	nuclear-transcribed mRNA catabolic process, exonucleolytic
1990074P	P	polyuridylation-dependent mRNA catabolic process
0048199P	P	vesicle targeting, to, from or within Golgi
0009313P	P	oligosaccharide catabolic process
0061663F	F	NEDD8 ligase activity
0044390F	F	ubiquitin-like protein conjugating enzyme binding
0046673P	P	negative regulation of compound eye retinal cell programmed cell death
2001271P	P	negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis
0005310F	F	dicarboxylic acid transmembrane transporter activity
0015131F	F	oxaloacetate transmembrane transporter activity
1901677F	F	phosphate transmembrane transporter activity
0015141F	F	succinate transmembrane transporter activity
0015116F	F	sulfate transmembrane transporter activity
0015117F	F	thiosulfate transmembrane transporter activity
0006835P	P	dicarboxylic acid transport
0071423P	P	malate transmembrane transport
0015729P	P	oxaloacetate transport
0035435P	P	phosphate ion transmembrane transport
0071422P	P	succinate transmembrane transport
0008272P	P	sulfate transport
0015709P	P	thiosulfate transport
0036404P	P	conversion of ds siRNA to ss siRNA
0014040P	P	positive regulation of Schwann cell differentiation
0035120P	P	post-embryonic appendage morphogenesis
0070221P	P	sulfide oxidation, using sulfide
0015291F	F	secondary active transmembrane transporter activity
0043162P	P	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
0045053P	P	protein retention in Golgi apparatus
0090594P	P	inflammatory response to wounding
1990846F	F	ribonucleoside-diphosphate reductase inhibitor activity
1905117P	P	regulation of ribonucleoside-diphosphate reductase activity
0033256C	C	I-kappaB/NF-kappaB complex
0002781P	P	antifungal peptide production
0035171P	P	lamellocyte differentiation
0042387P	P	plasmatocyte differentiation
1990526C	C	Ste12p-Dig1p-Dig2p complex
1990527C	C	Tec1p-Ste12p-Dig1p complex
2000218P	P	negative regulation of invasive growth in response to glucose limitation
1900240P	P	negative regulation of phenotypic switching
2000221P	P	negative regulation of pseudohyphal growth
0046020P	P	negative regulation of transcription from RNA polymerase II promoter by pheromones
0052909F	F	18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity
0000179F	F	rRNA (adenine-N6,N6-)-dimethyltransferase activity
0030688C	C	preribosome, small subunit precursor
0016701F	F	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
0070462P	P	plus-end specific microtubule depolymerization
1990251C	C	Mmi1 nuclear focus complex
0000465P	P	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
0033621P	P	nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts
0021852P	P	pyramidal neuron migration
0090128P	P	regulation of synapse maturation
0015197F	F	peptide transporter activity
0007225P	P	patched ligand maturation
0021869P	P	forebrain ventricular zone progenitor cell division
0036471P	P	cellular response to glyoxal
0046295P	P	glycolate biosynthetic process
1903189P	P	glyoxal metabolic process
0019249P	P	lactate biosynthetic process
0009438P	P	methylglyoxal metabolic process
0048640P	P	negative regulation of developmental growth
0019172F	F	glyoxalase III activity
0036525P	P	protein deglycation
0034663C	C	endoplasmic reticulum chaperone complex
1904158P	P	axonemal central apparatus assembly
0015036F	F	disulfide oxidoreductase activity
0016671F	F	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
0061617C	C	MICOS complex
0001401C	C	mitochondrial sorting and assembly machinery complex
1902954P	P	regulation of early endosome to recycling endosome transport
0050780F	F	dopamine receptor binding
1902957P	P	negative regulation of mitochondrial electron transport, NADH to ubiquinone
0017183P	P	peptidyl-diphthamide biosynthetic process from peptidyl-histidine
0071701P	P	regulation of MAPK export from nucleus
0045040P	P	protein import into mitochondrial outer membrane
0060250P	P	germ-line stem-cell niche homeostasis
0016007C	C	mitochondrial derivative
0001522P	P	pseudouridine synthesis
0072589C	C	box H/ACA scaRNP complex
0090661C	C	box H/ACA telomerase RNP complex
0005697C	C	telomerase holoenzyme complex
0003720F	F	telomerase activity
1904851P	P	positive regulation of establishment of protein localization to telomere
1904874P	P	positive regulation of telomerase RNA localization to Cajal body
0033979P	P	box H/ACA snoRNA metabolic process
0002253P	P	activation of immune response
0089700P	P	protein kinase D signaling
1902477P	P	regulation of defense response to bacterium, incompatible interaction
1901296P	P	negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
0042662P	P	negative regulation of mesodermal cell fate specification
0060394P	P	negative regulation of pathway-restricted SMAD protein phosphorylation
0048642P	P	negative regulation of skeletal muscle tissue development
1904723P	P	negative regulation of Wnt-Frizzled-LRP5/6 complex assembly
0090082P	P	positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway
1904958P	P	positive regulation of midbrain dopaminergic neuron differentiation
0045813P	P	positive regulation of Wnt signaling pathway, calcium modulating pathway
1904338P	P	regulation of dopaminergic neuron differentiation
0042663P	P	regulation of endodermal cell fate specification
0098883P	P	synapse disassembly
0061170P	P	negative regulation of hair follicle placode formation
2000225P	P	negative regulation of testosterone biosynthetic process
1903457P	P	lactate catabolic process
0099615F	F	(D)-2-hydroxyglutarate-pyruvate transhydrogenase activity
0004148F	F	dihydrolipoyl dehydrogenase activity
0045254C	C	pyruvate dehydrogenase complex
0043544F	F	lipoamide binding
0051068P	P	dihydrolipoamide metabolic process
0009106P	P	lipoate metabolic process
0061732P	P	mitochondrial acetyl-CoA biosynthetic process from pyruvate
0010510P	P	regulation of acetyl-CoA biosynthetic process from pyruvate
0034604F	F	pyruvate dehydrogenase (NAD+) activity
0005960C	C	glycine cleavage complex
0009353C	C	mitochondrial oxoglutarate dehydrogenase complex
0005967C	C	mitochondrial pyruvate dehydrogenase complex
0004739F	F	pyruvate dehydrogenase (acetyl-transferring) activity
0006086P	P	acetyl-CoA biosynthetic process from pyruvate
0019464P	P	glycine decarboxylation via glycine cleavage system
0004375F	F	glycine dehydrogenase (decarboxylating) activity
0004738F	F	pyruvate dehydrogenase activity
0006546P	P	glycine catabolic process
0006564P	P	L-serine biosynthetic process
0071212C	C	subsynaptic reticulum
0030714P	P	anterior/posterior axis specification, follicular epithelium
0045175P	P	basal protein localization
0016336P	P	establishment or maintenance of polarity of larval imaginal disc epithelium
0016335P	P	morphogenesis of larval imaginal disc epithelium
0030710P	P	regulation of border follicle cell delamination
0046425P	P	regulation of JAK-STAT cascade
0097025C	C	MPP7-DLG1-LIN7 complex
0097016F	F	L27 domain binding
0060022P	P	hard palate development
1903753P	P	negative regulation of p38MAPK cascade
1903764P	P	regulation of potassium ion export across plasma membrane
1903286P	P	regulation of potassium ion import
1903760P	P	regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization
0002369P	P	T cell cytokine production
0044309C	C	neuron spine
0031697F	F	beta-1 adrenergic receptor binding
0097109F	F	neuroligin family protein binding
0031812F	F	P2Y1 nucleotide receptor binding
0016188P	P	synaptic vesicle maturation
0098919F	F	structural constituent of postsynaptic density
0030859P	P	polarized epithelial cell differentiation
0035332P	P	positive regulation of hippo signaling
0008806F	F	carboxymethylenebutenolidase activity
0048677P	P	axon extension involved in regeneration
0048689P	P	formation of growth cone in injured axon
1903616P	P	MAPK cascade involved in axon regeneration
1905868P	P	regulation of 3'-UTR-mediated mRNA stabilization
1905563P	P	negative regulation of vascular endothelial cell proliferation
0021688P	P	cerebellar molecular layer formation
0021693P	P	cerebellar Purkinje cell layer structural organization
0007386P	P	compartment pattern specification
0097102P	P	endothelial tip cell fate specification
0072070P	P	loop of Henle development
0045608P	P	negative regulation of auditory receptor cell differentiation
0032693P	P	negative regulation of interleukin-10 production
0072006P	P	nephron development
0060853P	P	Notch signaling pathway involved in arterial endothelial cell fate commitment
1903672P	P	positive regulation of sprouting angiogenesis
0048631P	P	regulation of skeletal muscle tissue growth
0098773P	P	skin epidermis development
0009912P	P	auditory receptor cell fate commitment
0061314P	P	Notch signaling involved in heart development
0072554P	P	blood vessel lumenization
1903588P	P	negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
0090051P	P	negative regulation of cell migration involved in sprouting angiogenesis
0060842P	P	arterial endothelial cell differentiation
0035907P	P	dorsal aorta development
0061056P	P	sclerotome development
0021514P	P	ventral spinal cord interneuron differentiation
0035114P	P	imaginal disc-derived appendage morphogenesis
0048728P	P	proboscis development
0007449P	P	proximal/distal pattern formation, imaginal disc
0010092P	P	specification of animal organ identity
1990234C	C	transferase complex
0032476C	C	decaprenyl diphosphate synthase complex
0007560P	P	imaginal disc morphogenesis
1902871P	P	positive regulation of amacrine cell differentiation
0021893P	P	cerebral cortex GABAergic interneuron fate commitment
0021882P	P	regulation of transcription from RNA polymerase II promoter involved in forebrain neuron fate commitment
0021544P	P	subpallium development
0048755P	P	branching morphogenesis of a nerve
0071895P	P	odontoblast differentiation
0035270P	P	endocrine system development
0043049P	P	otic placode formation
0035141P	P	medial fin morphogenesis
0042676P	P	compound eye cone cell fate commitment
0035157P	P	negative regulation of fusion cell fate specification
0035155P	P	negative regulation of terminal cell fate specification, open tracheal system
0045468P	P	regulation of R8 cell spacing in compound eye
0044810P	P	Dma1-dependent checkpoint
1902364P	P	negative regulation of protein localization to spindle pole body
0032177C	C	cellular bud neck split septin rings
0035514F	F	DNA demethylase activity
0035516F	F	oxidative DNA demethylase activity
1901537P	P	positive regulation of DNA demethylation
0002225P	P	positive regulation of antimicrobial peptide production
0038187F	F	pattern recognition receptor activity
0043152P	P	induction of bacterial agglutination
0002399P	P	MHC class II protein complex assembly
2001190P	P	positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
0000150F	F	recombinase activity
1905334F	F	Swi5-Sfr1 complex binding
0006311P	P	meiotic gene conversion
0000709P	P	meiotic joint molecule formation
0048172P	P	regulation of short-term neuronal synaptic plasticity
0016014C	C	dystrobrevin complex
0005277F	F	acetylcholine transmembrane transporter activity
0015870P	P	acetylcholine transport
0043056P	P	forward locomotion
0032224P	P	positive regulation of synaptic transmission, cholinergic
0030055C	C	cell-substrate junction
0016013C	C	syntrophin complex
0086001P	P	cardiac muscle cell action potential
0043043P	P	peptide biosynthetic process
0090287P	P	regulation of cellular response to growth factor stimulus
0014904P	P	myotube cell development
0021629P	P	olfactory nerve structural organization
1903575P	P	cornified envelope assembly
0070173P	P	regulation of enamel mineralization
0017020F	F	myosin phosphatase regulator activity
0010657P	P	muscle cell apoptotic process
0014853P	P	regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction
0010830P	P	regulation of myotube differentiation
0014722P	P	regulation of skeletal muscle contraction by calcium ion signaling
0002176P	P	male germ cell proliferation
0046661P	P	male sex differentiation
0045835P	P	negative regulation of meiotic nuclear division
2000287P	P	positive regulation of myotome development
1900111P	P	positive regulation of histone H3-K9 dimethylation
1900114P	P	positive regulation of histone H3-K9 trimethylation
0043291C	C	RAVE complex
0005760C	C	gamma DNA polymerase complex
0043139F	F	5'-3' DNA helicase activity
0017108F	F	5'-flap endonuclease activity
0033567P	P	DNA replication, Okazaki fragment processing
0043137P	P	DNA replication, removal of RNA primer
0043504P	P	mitochondrial DNA repair
0006264P	P	mitochondrial DNA replication
1902990P	P	mitotic telomere maintenance via semi-conservative replication
0032201P	P	telomere maintenance via semi-conservative replication
1990601F	F	5' overhang single-stranded DNA endodeoxyribonuclease activity
0045145F	F	single-stranded DNA 5'-3' exodeoxyribonuclease activity
1903469P	P	removal of RNA primer involved in mitotic DNA replication
0071932P	P	replication fork reversal
0072429P	P	response to intra-S DNA damage checkpoint signaling
0006273P	P	lagging strand elongation
0005858C	C	axonemal dynein complex
0004059F	F	aralkylamine N-acetyltransferase activity
0046334P	P	octopamine catabolic process
0042429P	P	serotonin catabolic process
0036156C	C	inner dynein arm
0032220P	P	plasma membrane fusion involved in cytogamy
0051223P	P	regulation of protein transport
0098554C	C	cytoplasmic side of endoplasmic reticulum membrane
0055131F	F	C3HC4-type RING finger domain binding
1903748P	P	negative regulation of establishment of protein localization to mitochondrion
1905259P	P	negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway
0005133F	F	interferon-gamma receptor binding
0090084P	P	negative regulation of inclusion body assembly
0090086P	P	negative regulation of protein deubiquitination
1903644P	P	regulation of chaperone-mediated protein folding
0060717P	P	chorion development
0061649F	F	ubiquitin modification-dependent histone binding
0051083P	P	'de novo' cotranslational protein folding
1903912P	P	negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation
0036494P	P	positive regulation of translation initiation in response to endoplasmic reticulum stress
0043008F	F	ATP-dependent protein binding
0019136F	F	deoxynucleoside kinase activity
0004797F	F	thymidine kinase activity
0006230P	P	TMP biosynthetic process
0003910F	F	DNA ligase (ATP) activity
0003909F	F	DNA ligase activity
0006297P	P	nucleotide-excision repair, DNA gap filling
0051103P	P	DNA ligation involved in DNA repair
0070421C	C	DNA ligase III-XRCC1 complex
0006288P	P	base-excision repair, DNA ligation
0097681P	P	double-strand break repair via alternative nonhomologous end joining
0032807C	C	DNA ligase IV complex
0033152P	P	immunoglobulin V(D)J recombination
0051102P	P	DNA ligation involved in DNA recombination
0097680P	P	double-strand break repair via classical nonhomologous end joining
2001252P	P	positive regulation of chromosome organization
0002328P	P	pro-B cell differentiation
0099073C	C	mitochondrion-derived vesicle
0003374P	P	dynamin family protein polymerization involved in mitochondrial fission
0090149P	P	mitochondrial membrane fission
1900063P	P	regulation of peroxisome organization
0051433F	F	BH2 domain binding
1904579P	P	cellular response to thapsigargin
1905395P	P	response to flavonoid
1990910P	P	response to hypobaric hypoxia
1990606F	F	membrane scission GTPase motor activity
0034643P	P	establishment of mitochondrion localization, microtubule-mediated
0033955P	P	mitochondrial DNA inheritance
0003886F	F	DNA (cytosine-5-)-methyltransferase activity
0009008F	F	DNA-methyltransferase activity
0043045P	P	DNA methylation involved in embryo development
0006346P	P	methylation-dependent chromatin silencing
0051719F	F	DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates
0044027P	P	hypermethylation of CpG island
0060821P	P	inactivation of X chromosome by DNA methylation
0032776P	P	DNA methylation on cytosine
1905642P	P	negative regulation of DNA methylation
1905643P	P	positive regulation of DNA methylation
0060718P	P	chorionic trophoblast cell differentiation
0090309P	P	positive regulation of methylation-dependent chromatin silencing
0051718F	F	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates
0070694F	F	deoxyribonucleoside 5'-monophosphate N-glycosidase activity
0050144F	F	nucleoside deoxyribosyltransferase activity
0009159P	P	deoxyribonucleoside monophosphate catabolic process
0003335P	P	corneocyte development
0007000P	P	nucleolus organization
0010992P	P	ubiquitin recycling
2000255P	P	negative regulation of male germ cell proliferation
0002587P	P	negative regulation of antigen processing and presentation of peptide antigen via MHC class II
0002504P	P	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
0046633P	P	alpha-beta T cell proliferation
0046631P	P	alpha-beta T cell activation
1904694P	P	negative regulation of vascular smooth muscle contraction
1990869P	P	cellular response to chemokine
0061485P	P	memory T cell proliferation
1903905P	P	positive regulation of establishment of T cell polarity
1904059P	P	regulation of locomotor rhythm
0003850F	F	2-deoxyglucose-6-phosphatase activity
0019135F	F	deoxyhypusine monooxygenase activity
0051386P	P	regulation of neurotrophin TRK receptor signaling pathway
0004168F	F	dolichol kinase activity
0043048P	P	dolichyl monophosphate biosynthetic process
1990533C	C	Dom34-Hbs1 complex
0003747F	F	translation release factor activity
0071025P	P	RNA surveillance
0097678F	F	SOCS family protein binding
0033260P	P	nuclear DNA replication
0030894C	C	replisome
0033981F	F	D-dopachrome decarboxylase activity
0005126F	F	cytokine receptor binding
0004167F	F	dopachrome isomerase activity
0050178F	F	phenylpyruvate tautomerase activity
0034466C	C	chromaffin granule lumen
0004500F	F	dopamine beta-monooxygenase activity
0042309P	P	homoiothermy
0002443P	P	leukocyte mediated immunity
0006589P	P	octopamine biosynthetic process
0001588F	F	dopamine neurotransmitter receptor activity, coupled via Gs
0030285C	C	integral component of synaptic vesicle membrane
0008226F	F	tyramine receptor activity
0042321P	P	negative regulation of circadian sleep/wake cycle, sleep
0001591F	F	dopamine neurotransmitter receptor activity, coupled via Gi/Go
0070379F	F	high mobility group box 1 binding
0035006P	P	melanization defense response
0031151F	F	histone methyltransferase activity (H3-K79 specific)
0034729P	P	histone H3-K79 methylation
2000677P	P	regulation of transcription regulatory region DNA binding
0032200P	P	telomere organization
0099115C	C	chromosome, subtelomeric region
